wavelength_nm,E_direct_W_m2_um,E_diffuse_W_m2_um
497,105.02515426630171,45.02178727018524
498,103.79610872611362,44.313667330090304
499,102.44596007880844,43.55581791574872
500,101.3495664331939,42.90557552489559
501,100.80433719888201,42.48584986680275
502,100.91469077956984,42.33900314536821
503,101.54044951888322,42.40799521649898
504,102.38132559335811,42.57209667044046
505,103.15697334180814,42.71893963261449
506,103.73916163476478,42.79630535632685
507,104.14817966943382,42.81078360724735
508,104.44781142458432,42.78644074663076
509,104.64004885111493,42.72235970440627
510,104.6517115971052,42.58685876969807
511,104.4113334877485,42.348994505270895
512,103.90333758932088,42.00126931480103
513,103.11200946525871,41.53747444083798
514,101.94886714780435,40.92365640956842
515,100.36481488498971,40.14304516198462
516,98.63732019201095,39.30947724967188
517,97.46704328501195,38.70272134810435
518,97.58796388557212,38.61097428415123
519,99.1809443025582,39.09973763070343
520,101.69997700319307,39.94788969085031
521,104.26495032834605,40.8067656838902
522,106.17763570897196,41.40387270306509
523,107.14140935915671,41.62716949132366
524,107.2067888921808,41.50121840733254
525,106.6763511635412,41.14771607326186
526,106.02983859059546,40.754222318559144
527,105.74628207942655,40.50419865053328
528,106.02691337534212,40.471341492709385
529,106.66779033470942,40.57403132748679
530,107.25601253413876,40.6538333132163
531,107.51670172027487,40.60842865345783
532,107.4868710182128,40.45502469340811
533,107.38422257103015,40.27757009819641
534,107.33105417765506,40.12188787915568
535,107.23018650850905,39.95048684904649
536,106.91528633846205,39.70025908385078
537,106.36239741870222,39.36152226523515
538,105.7041108362049,38.98279792060697
539,105.09719311392809,38.62186736274998
540,104.65400357280613,38.321049798560104
541,104.46270533065032,38.11452753516026
542,104.58667470098933,38.02690465011057
543,105.02398875819972,38.05733084044015
544,105.67969706845085,38.16984273986316
545,106.38341768265187,38.301334495966074
546,106.96753375269228,38.39082569465736
547,107.36782492908462,38.41510937671218
548,107.64503034299192,38.39522233607021
549,107.89521189897658,38.36402056147063
550,108.14942541690073,38.33119899087181
551,108.359909217231,38.27926796299183
552,108.45384814802755,38.182735419000664
553,108.37412704089999,38.02206898729665
554,108.06999512034184,37.78021997377251
555,107.47972082252399,37.436961199424346
556,106.57365458361235,36.9842368216807
557,105.45996041109579,36.46209732450112
558,104.44556427115157,35.97795920576748
559,103.91694731305417,35.66408472367003
560,104.06889259012489,35.584731399732505
561,104.73569056806151,35.68035576791213
562,105.52525555299337,35.81547077963324
563,106.11277103403638,35.879066095977485
564,106.3877587203704,35.833427887222264
565,106.37372105887538,35.685947158284876
566,106.09143382371505,35.44347309289868
567,105.52918814592923,35.10389714573304
568,104.72574618569472,34.684663891750475
569,103.8519591083602,34.247992735762274
570,103.17530374613159,33.88528374371802
571,102.90275643716,33.66327956991661
572,103.03139641790423,33.57715879295568
573,103.36081043322233,33.558696297259516
574,103.67115649037675,33.536357808153674
575,103.88595181159864,33.48709253950958
576,104.06411187457384,33.431731846364755
577,104.27890598411531,33.39493577617849
578,104.55087756354256,33.38340856755257
579,104.88349591688925,33.39706908279075
580,105.30117350003246,33.44106403697869
581,105.80803765507632,33.513113936199304
582,106.31464678356924,33.58104515899907
583,106.6306869384206,33.58078840211924
584,106.53472194899132,33.43790100185074
585,105.84211133328114,33.088755202878104
586,104.44614906734633,32.49583456733534
587,102.41468436826594,31.68334668132759
588,100.13074610820205,30.78451192413114
589,98.24258597876008,30.02085712966018
590,97.29608266756644,29.576684068288557
591,97.35836850160868,29.475442995909493
592,98.04031222976637,29.58920831198054
593,98.88016797303898,29.765096120004696
594,99.6688309032786,29.932385329396755
595,100.44492424589663,30.102249763566153
596,101.28642408673971,30.299924635991363
597,102.16540713720849,30.516312448406932
598,102.96425410895074,30.71258352157505
599,103.57158663197146,30.851173503927722
600,103.95799130358081,30.91976071261895
601,104.19403620254407,30.93660712636762
602,104.4014696790219,30.935939136874143
603,104.65690567394523,30.93967435707675
604,104.92932512300828,30.939277972540523
605,105.1206275910708,30.907800349407125
606,105.15898903573049,30.82697465909228
607,105.03968919887156,30.698372771147454
608,104.79958140428765,30.534968807880528
609,104.48849104921666,30.352218226768283
610,104.15978813135293,30.165492496822047
611,103.85212905914804,29.98548927839481
612,103.55916765030638,29.81007645986437
613,103.22388886641167,29.62285428117479
614,102.79182368130647,29.408407210180577
615,102.30922885743225,29.180224473475604
616,101.96856145284673,28.993200789804682
617,101.9918615876776,28.909923670840247
618,102.41839736370126,28.940505949961633
619,103.0306383685782,29.02252670740215
620,103.51230205948252,29.066532184694786
621,103.65449743558416,29.014095033141476
622,103.41546072269712,28.853776892415652
623,102.85635702801225,28.602162247605413
624,102.08161325110346,28.28669043395371
625,101.2259820530197,27.942682029234078
626,100.44100859527629,27.611716260277518
627,99.86047679808702,27.334605253486306
628,99.57207731966533,27.143662806596566
629,99.59602877538072,27.0527768170334
630,99.86766532181016,27.047466396964648
631,100.26830814578425,27.092109798869526
632,100.7075737630925,27.15558217712396
633,101.17456378667161,27.228779443186305
634,101.70326590800107,27.3167857789108
635,102.2945387152247,27.417943580122795
636,102.87354635114654,27.512127480436433
